state	collection_date	n	n_sgtf	n_b117	n_seq	n_sgtf_seq
AK	2020-09-08	1	0	0	0	0
AK	2020-09-10	1	0	0	0	0
AK	2020-09-15	1	0	0	0	0
AK	2020-09-17	1	0	0	0	0
AK	2020-09-22	1	0	0	0	0
AK	2020-10-01	1	0	0	0	0
AK	2020-10-11	1	0	0	0	0
AK	2020-10-19	1	0	0	0	0
AK	2020-11-02	2	0	0	0	0
AK	2020-11-11	1	0	0	0	0
AK	2020-11-18	1	0	0	0	0
AK	2020-11-23	1	0	0	0	0
AK	2020-11-30	1	0	0	0	0
AK	2020-12-04	2	0	0	0	0
AK	2020-12-05	1	0	0	0	0
AK	2020-12-08	1	0	0	0	0
AK	2020-12-09	1	0	0	0	0
AK	2020-12-24	1	0	0	0	0
AK	2021-01-02	1	0	0	0	0
AK	2021-01-18	1	0	0	0	0
AK	2021-01-22	2	0	0	0	0
AL	2020-09-07	2	0	0	0	0
AL	2020-09-08	3	0	0	0	0
AL	2020-09-09	2	0	0	0	0
AL	2020-09-10	2	0	0	0	0
AL	2020-09-14	1	0	0	0	0
AL	2020-09-15	3	0	0	0	0
AL	2020-09-16	1	0	0	0	0
AL	2020-09-17	2	0	0	0	0
AL	2020-09-18	3	0	0	0	0
AL	2020-09-21	1	0	0	0	0
AL	2020-09-22	2	0	0	0	0
AL	2020-09-24	1	0	0	0	0
AL	2020-09-25	1	0	0	0	0
AL	2020-09-28	1	0	0	0	0
AL	2020-09-29	1	0	0	0	0
AL	2020-09-30	1	0	0	0	0
AL	2020-10-01	1	0	0	0	0
AL	2020-10-02	2	0	0	0	0
AL	2020-10-06	2	0	0	0	0
AL	2020-10-07	1	0	0	0	0
AL	2020-10-08	1	0	0	0	0
AL	2020-10-09	1	0	0	0	0
AL	2020-10-12	2	0	0	0	0
AL	2020-10-13	1	0	0	0	0
AL	2020-10-15	3	0	0	0	0
AL	2020-10-16	3	0	0	0	0
AL	2020-10-17	2	0	0	0	0
AL	2020-10-18	1	0	0	0	0
AL	2020-10-19	1	0	0	0	0
AL	2020-10-20	3	0	0	0	0
AL	2020-10-21	3	0	0	0	0
AL	2020-10-22	4	0	0	0	0
AL	2020-10-23	3	0	0	0	0
AL	2020-10-24	3	0	0	0	0
AL	2020-10-25	1	0	0	0	0
AL	2020-10-26	3	0	0	0	0
AL	2020-10-27	3	0	0	0	0
AL	2020-10-28	6	0	0	0	0
AL	2020-10-29	3	0	0	0	0
AL	2020-10-30	3	0	0	0	0
AL	2020-11-02	6	0	0	0	0
AL	2020-11-03	2	0	0	0	0
AL	2020-11-04	2	0	0	0	0
AL	2020-11-05	5	0	0	0	0
AL	2020-11-06	3	0	0	0	0
AL	2020-11-07	1	0	0	0	0
AL	2020-11-08	1	0	0	0	0
AL	2020-11-09	3	0	0	0	0
AL	2020-11-10	5	0	0	0	0
AL	2020-11-11	3	0	0	0	0
AL	2020-11-12	8	0	0	0	0
AL	2020-11-13	4	1	0	0	0
AL	2020-11-14	3	0	0	0	0
AL	2020-11-16	3	1	0	0	0
AL	2020-11-17	4	0	0	0	0
AL	2020-11-18	2	0	0	0	0
AL	2020-11-19	13	0	0	0	0
AL	2020-11-20	8	0	0	0	0
AL	2020-11-23	13	0	0	0	0
AL	2020-11-24	1	0	0	0	0
AL	2020-11-25	5	0	0	0	0
AL	2020-11-27	8	0	0	0	0
AL	2020-11-28	2	0	0	0	0
AL	2020-11-29	1	0	0	0	0
AL	2020-11-30	10	0	0	0	0
AL	2020-12-01	6	0	0	0	0
AL	2020-12-02	2	0	0	0	0
AL	2020-12-03	10	0	0	0	0
AL	2020-12-04	10	0	0	0	0
AL	2020-12-05	4	0	0	0	0
AL	2020-12-06	1	0	0	0	0
AL	2020-12-07	8	0	0	0	0
AL	2020-12-08	9	0	0	0	0
AL	2020-12-09	8	0	0	0	0
AL	2020-12-10	11	0	0	0	0
AL	2020-12-11	14	0	0	0	0
AL	2020-12-12	4	0	0	0	0
AL	2020-12-13	1	0	0	0	0
AL	2020-12-14	5	0	0	0	0
AL	2020-12-15	11	0	0	0	0
AL	2020-12-16	4	1	0	0	0
